"","x"
"168","RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"169","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"170","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"171","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"172","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"173","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"174","RT @sallyern: Indeed what is he hiding? To understand his #trumpconflicts  we must see #trump taxes. Scare because all the $ owed to Russia…"
"175","RT @immigrant4trump: Trump: We're Going to Start Saying 'Merry Christmas' Again #MerryChristmas #Trump #Maga https://t.co/E2j6vPXcoZ"
"176","RT @mrntweet2: #Trump names adviser #Conway as his #Advisor https://t.co/ueFvrLPOQ3"
"177","@therealcornett @4golifa @Hunter_College @NxGenEarthlings Firing is the start.  I would demand apology to #Trump family &amp; #Hunter_College"
"178","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"179","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"180","Note To Myself: 8pm central time Host: Rachel Maddow #msnbc Guest: Kellyanne Conway #Trump Strategist. https://t.co/qcPnH8pw5v"
"181","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"182","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"183","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"184","RT @TheRickyDavila: Instead of playing into #Trump's hands by talking about Ivanka Trump, let's talk about his plans for nuclear weapons or…"
"185","RT @funder: RT if you think a federal investigation needs to be done IMMEDIATELY on these #Trump bribes #TrumpLeaks

#msnbc #cnn #amjoy #th…"
"186","RT @JohnRMoffitt: #Trump &amp; #Putin are now in a pissing match over escalating the number &amp; size of nuclear weapons! How can this go more wro…"
"187","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"188","RT @JacloPac: #Trump: It's official, let's get started we've got a lot to divvy up.. https://t.co/e4JKBC7Fy2"
"189","RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"190","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"191","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"192","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"193","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"194","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"195","RT @JuliaDavisNews: Donald #Trump and Vladimir #Putin agree: Let’s revive the nuclear arms race.
Is there anything they don't agree on? 
ht…"
"196","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"197","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"198","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"199","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"200","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"201","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"202","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"203","RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
