"","score","text"
"46",1,"With #Trump as #POTUS, people need to be cautious re this kind of thing happening https://t.co/2oUYa7xs4z"
"47",3,"RT @DimitriousGart2: @thehill and so it starts. The arm race, good for Putin, good for #Trump. Its all about the money honey"
"48",2,"They're no ZZ Top but I guess they'll do. 
#inauguration #Trump #Mormons
https://t.co/45ELL2wPOQ"
"49",1,"All because #POTUS #Trump is all about judgement #Bluehand #NewBluehand https://t.co/31KynOjwdg"
"50",2,"RT @rollingitout: Before Matt Lasner could delete I scored his phone number &amp; information. Have Fun! #JetBlue #MAGA #Trump https://t.co/vcs…"
"51",-1,"RT @2ALAW: Liberal Media Says That ""Angry White Men"" Got Trump Elected.

Last Time I Checked I'm Not ""Angry"" Nor ""White"".

#Trump
#DrainThe…"
"52",1,"RT @Hotpage_News: #Trump: US SHOULD VETO UN resolution on Israeli settlements - TIMES OF ISRAEL     https://t.co/noF9axsOdi"
"53",3,"RT @manny_ottawa: #Election2016 in this tweet
1. Left intolerable(hate)
2. Trump in coach
3. Media #FakeNews “Talking”
4. Why Trump won htt…"
"54",1,"RT @TheRickyDavila: That time when there's more ""outrage"" about an activist yelling at Ivanka Trump than #Trump announcing his plans about…"
"55",1,"We have a president who doesn't have a clue. I would say he's incompetent, but I don't want to do that, because it's not nice. #Trump #IWin"
"56",0,"RT @carol_varham: MEXICO URGES ILLEGAL ALIEN INVADERS TO APPLY FOR CITIZENSHIP BEFORE #TRUMP TAKES OFFICE #o4a #news https://t.co/7L56q0s8K…"
"57",1,"The red of #Republicans and blue of #Democrats may soon raise a new &amp; viable competitor as we enter the #Trump era &gt; https://t.co/9eHn1E8tZ9"
"58",1,"RT @ForQ2: “@realDonaldTrump: An interesting cartoon that is circulating. http://t.co/Yoq49PS5v3” Don't worry #trump, you'll never be elect…"
"59",1,"#Obama just stopped #Trump 's #Muslim registry in it's tracks https://t.co/opuMxAfM2l #TheResistance #Resist"
"60",1,"@thehill @HuffPostPol @politico_45 #trump calls BOOBOO Newt.Demand's he apologize and Kiss His Ring.Trump smart &amp; knows Gingrich is a LOSER."
"61",-2,"From the feminist defending Ivanka #Trump being harassed, who in 2013 complained about being harassed... https://t.co/eDHvl4oywa"
"62",1,"RT @RT_CNN: #news #trump #hillary #election #syria Holiday shopper: Go back to wherever you come from, lady https://t.co/RqRFKkAtww https:/…"
"63",3,"RT @TrumpSuperPAC: U.S. Constitution doesn't guarantee accepting everyone into the U.S. It's a privilege that is offered. #MAGA #TRUMP http…"
"64",0,"RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"65",1,"RT @RCDefense: Memo: #Russia Missing from #Trump<U+0099>'s Top Defense Priorities | @paulmcleary @John_Hudson @dandeluce @ForeignPolicy https://t.…"
"66",-2,"There should be outrage in America #Trump High school football player pleads guilty to lesser charge in Rape Case https://t.co/9ooVetPyVf"
"67",1,"RT @KitDaniels1776: Prince Charles Ignores Family’s Pro-Nazi Past When Comparing #Trump to Hitler https://t.co/TFg93jJhvx @DRUDGE #altright…"
"68",0,"RT @DonaldJTrumpJr: Not bad for the first few swings since summer. Donnie hitting the long ball @trumpgolf #trump #golf #glorida https://t.…"
"69",2,"Stuck for last minute Xmas gifts? Well here's a possible solution - a gold plated diamond encrusted #Trump #IPhone… https://t.co/BYW0nhCDpZ"
"70",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"71",1,"RT @funder: #Trump must divest all his businesses-Congressman Adam Schiff explains why &amp; the Constitutions Emoluments Clause #TrumpLeaks #a…"
"72",1,"RT @drudgeheadlines: #TRUMP #FLEXES #NUKE STRENGTH https://t.co/xszKEM78Uj"
"73",1,"RT @TheRebelTV: WATCH: Donald #Trump's best comebacks and funniest moments https://t.co/vHsurnomkW | #MAGA #tcot https://t.co/RJPzbunIvX"
"74",1,"RT @CaptialBusLoan: RT - Matthew Lasner Daniel Goldstein Attacking @IvankaTrump #maga #trump @Bikers4Trump @HunterPresident https://t.co/6L…"
"75",0,"RT @dabeard: Fear rises at @StateDept after #Trump team demands info on programs designed to help women https://t.co/SFspZqlZYv via @TracyK…"
"76",0,"RT @BeSafe2017: Dear 2017, 

Thank God your here!

Nothing can be worse than the last 8 years!

#MAGA
#AmericaFirst
#Trump
#HesMyPresident…"
"77",2,"RT @HFensterman: Will #Trump Make Practicing Medicine Great Again? https://t.co/QRKIrxwaQ1"
"78",3,"RT @Sputnik_Not: #Putin and #Trump agree the best way to support nuclear non-proliferation efforts is to get more #nuclear weapons https://…"
"79",2,"Okay, so an attorney and his husband were booted from a Jet Blue plane for harassing Ivanka Trump and her family. Adam Saleh part2. #Trump"
"80",2,"RT @Professing_Prof: Is there a place where Progressive Organizations are building up to fight #Trump have job openings/listings? That migh…"
"81",1,"RT @topschtick: @SMShow @frangeladuo #Trump &amp; #Putin calling for more nukes. Remember, citizens, give the guy a chance. How do we stop this…"
"82",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"83",2,"RT .immigrant4trump: WATCH The moment in history! fish taco surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"84",1,"RT @RealCranky: Will you STOP the #racist, #sexist, #homophobe etc labeling. 
I support #Trump and I am NONE of the above. 
#60Minutes #WTF…"
"85",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"86",1,"RT @funder: RT if you think a federal investigation needs to be done IMMEDIATELY on these #Trump bribes #TrumpLeaks

#msnbc #cnn #amjoy #th…"
"87",1,"RT @rafshmatko: Donald Trump
President of the United States #Trump #DonaldTrump https://t.co/g6ZBMnDAE4"
"88",0,"WTFFF?! #Misogynist #Trump team asked State Dept 4 info on #womensrights progs, sparking fears of another witch hunt https://t.co/Rz8G5dAmV4"
"89",1,"Quite interesting piece about the #Trump-#Putin bromance. https://t.co/ofcuPoL78u"
"90",1,"#Trump #Nuclearcapability The more there is the easier to nick. Today's deterrent is already over the top. No one wants nuclear war. Moron."
"91",2,"@PaulERondeau @thehill @KellyannePolls I am way more #corrupt than Hillary. Glad you're excited about the #Trump #kleptocracy! #MAGA #MAGA3X"
"92",-1,"#Trump Sanders has no pride.Everybody knows Sanders was a ""cheap puppet"" of Clinton's campaign who betrayed and sol… https://t.co/qrGlZbtLLK"
"93",1,"There might be a YUGE concert being organized to compete with Trump's #Inauguration https://t.co/LifUQzGGo3 #WeThePeople #UniteBlue #Trump"
"94",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
"95",3,"RT @immigrant4trump: WATCH The moment in history! Donald Trump surpassed 270 electoral votes! Celebration! Time! #MAGA #TRUMP #TheFive http…"
